x	y	z	Velocidad				x'	y'
19.999011	-1.68584	-1.021	0.128409	1.246444	0.544129		-8.68549385	-8.02065385
20.001579	-1.660911	-1.010118	0.126463	1.246606	0.544228		-8.66146365	-8.01067065
20.004109	-1.635979	-0.999233	0.124517	1.246765	0.544325		-8.63741715	-8.00067115
20.006599	-1.611044	-0.988346	0.12257	1.246922	0.544421		-8.61335365	-7.99065565
20.00905	-1.586105	-0.977458	0.120624	1.247076	0.544516		-8.5892725	-7.9806255
20.011463	-1.561164	-0.966568	0.118677	1.247228	0.54461		-8.56517605	-7.97058005
20.013836	-1.536219	-0.955676	0.116729	1.247377	0.544703		-8.5410616	-7.9605186
20.016171	-1.511272	-0.944781	0.114782	1.247524	0.544795		-8.51693185	-7.95044085
20.018467	-1.486321	-0.933886	0.112834	1.247669	0.544886		-8.49278445	-7.94034945
20.020723	-1.461368	-0.922988	0.110886	1.247811	0.544976		-8.46862105	-7.93024105
20.022941	-1.436412	-0.912088	0.108938	1.247951	0.545064		-8.44444135	-7.92011735
20.02512	-1.411453	-0.901187	0.10699	1.248088	0.545152		-8.420245	-7.909979
20.02726	-1.386491	-0.890284	0.105041	1.248223	0.545239		-8.396032	-7.899825
20.02936	-1.361526	-0.879379	0.103092	1.248356	0.545324		-8.371802	-7.889655
20.031422	-1.336559	-0.868473	0.101143	1.248486	0.545409		-8.3475567	-7.8794707
20.033445	-1.31159	-0.857565	0.099193	1.248613	0.545492		-8.32329575	-7.86927075
20.035429	-1.286617	-0.846655	0.097244	1.248739	0.545575		-8.29901715	-7.85905515
20.037374	-1.261643	-0.835743	0.095294	1.248861	0.545656		-8.2747239	-7.8488239
20.03928	-1.236665	-0.82483	0.093344	1.248982	0.545736		-8.250413	-7.838578
20.041147	-1.211686	-0.813915	0.091394	1.2491	0.545815		-8.22608745	-7.82831645
20.042975	-1.186704	-0.802999	0.089443	1.249215	0.545894		-8.20174525	-7.81804025
20.044763	-1.161719	-0.792081	0.087492	1.249328	0.545971		-8.17738605	-7.80774805
20.046513	-1.136733	-0.781162	0.085542	1.249439	0.546047		-8.15301255	-7.79744155
20.048224	-1.111744	-0.770241	0.083591	1.249547	0.546122		-8.1286224	-7.7871194
20.049896	-1.086753	-0.759318	0.081639	1.249653	0.546196		-8.1042166	-7.7767816
20.051529	-1.06176	-0.748395	0.079688	1.249756	0.546268		-8.07979515	-7.76643015
20.053122	-1.036765	-0.737469	0.077736	1.249857	0.54634		-8.0553577	-7.7560617
20.054677	-1.011768	-0.726542	0.075784	1.249955	0.546411		-8.03090495	-7.74567895
20.056193	-0.986769	-0.715614	0.073832	1.250051	0.54648		-8.00643655	-7.73528155
20.05767	-0.961768	-0.704685	0.07188	1.250145	0.546549		-7.9819525	-7.7248695
20.059107	-0.936765	-0.693754	0.069928	1.250236	0.546617		-7.95745245	-7.71444145
20.060506	-0.91176	-0.682821	0.067975	1.250325	0.546683		-7.9329371	-7.7039981
20.061865	-0.886754	-0.671888	0.066023	1.250411	0.546748		-7.90840675	-7.69354075
