x	y	z	Velocidad				x'	y'
13.694884	43.627961	9.488592	-0.788283	0.052575	0.25411		38.8347516	4.6953826
13.064258	43.67002	9.69188	-0.792334	0.039034	0.251105		39.0975297	5.1193897
12.430391	43.701247	9.892764	-0.796213	0.025396	0.248018		39.35061015	5.54212715
11.79342	43.721564	10.091178	-0.799918	0.011661	0.244848		39.593867	5.963481
11.153486	43.730893	10.287056	-0.803445	-0.002169	0.241594		39.8271729	6.3833359
10.51073	43.729158	10.480332	-0.806792	-0.016094	0.238257		40.0504025	6.8015765
9.865296	43.716282	10.670937	-0.809956	-0.030114	0.234835		40.2634284	7.2180834
9.217331	43.692191	10.858805	-0.812934	-0.044228	0.231327		40.46612515	7.63273915
8.566984	43.656809	11.043867	-0.815721	-0.058435	0.227733		40.6583646	8.0454226
7.914407	43.610061	11.226053	-0.818317	-0.072734	0.224052		40.84001855	8.45601055
7.259753	43.551874	11.405295	-0.820715	-0.087124	0.220284		41.01096045	8.86438145
6.603181	43.482175	11.581522	-0.822914	-0.101606	0.216427		41.17106165	9.27040865
5.94485	43.40089	11.754664	-0.82491	-0.116177	0.21248		41.3201925	9.6739665
5.284921	43.307949	11.924648	-0.826699	-0.130836	0.208444		41.45822665	10.07492565
4.623562	43.20328	12.091403	-0.828277	-0.145583	0.204317		41.5850333	10.4731563
3.96094	43.086814	12.254856	-0.829641	-0.160416	0.200098		41.700485	10.868527
3.297227	42.958481	12.414934	-0.830786	-0.175334	0.195786		41.80445155	11.26090455
2.632599	42.818213	12.571564	-0.831708	-0.190336	0.191382		41.89680335	11.65015435
1.967232	42.665944	12.724669	-0.832404	-0.20542	0.186883		41.9774128	12.0361378
1.301309	42.501608	12.874175	-0.832868	-0.220585	0.18229		42.04614985	12.41871685
0.635014	42.32514	13.020007	-0.833097	-0.235828	0.1776		42.1028851	12.7977521
-0.031463	42.136478	13.162088	-0.833085	-0.251149	0.172815		42.14749005	13.17310005
-0.697932	41.935559	13.300339	-0.832829	-0.266545	0.167932		42.1798352	13.5446152
